pythonComment;Comment
pythonConditional;Conditional
pythonDecorator;Define
pythonError;Error
pythonIndentError;Error
pythonSpaceError;Error
pythonUniEscapeError;Error
pythonUniRawEscapeError;Error
pythonBytesError;Error
pythonBytesEscapeError;Error
pythonNumberError;Error
pythonOctError;Error
pythonHexError;Error
pythonBinError;Error
pythonException;Exception
pythonFloat;Float
pythonFunction;Function
pythonDottedName;Function
pythonBuiltinFunc;Function
pythonDot;Normal
pythonNumber;Number
pythonHexNumber;Number
pythonOctNumber;Number
pythonBinNumber;Number
pythonOperator;Operator
pythonRepeat;Repeat
pythonCoding;Special
pythonRun;Special
pythonUniEscape;Special
pythonUniRawEscape;Special
pythonBytesEscape;Special
pythonStrFormatting;Special
pythonStrFormat;Special
pythonStrTemplate;Special
pythonDocTest;Special
pythonDocTest2;Special
pythonPreCondit;Statement
pythonStatement;Statement
pythonString;String
pythonRawString;String
pythonUniString;String
pythonUniRawString;String
pythonBytes;String
pythonRawBytes;String
pythonBytesContent;String
pythonBuiltinObj;Structure
pythonExClass;Structure
pythonTodo;Todo
